Fecha,Nacional
2020-02-28,0
2020-02-29,3
2020-03-01,1
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,1
2020-03-07,1
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,4
2020-03-12,5
2020-03-13,14
2020-03-14,14
2020-03-15,11
2020-03-16,20
2020-03-17,26
2020-03-18,17
2020-03-19,59
2020-03-20,26
2020-03-21,48
2020-03-22,65
2020-03-23,40
2020-03-24,49
2020-03-25,70
2020-03-26,110
2020-03-27,132
2020-03-28,131
2020-03-29,145
2020-03-30,101
2020-03-31,121
2020-04-01,163
2020-04-02,132
2020-04-03,178
2020-04-04,202
2020-04-05,253
2020-04-06,296
2020-04-07,346
2020-04-08,396
2020-04-09,260
2020-04-10,403
2020-04-11,375
2020-04-12,442
2020-04-13,353
2020-04-14,385
2020-04-15,448
2020-04-16,450
2020-04-17,578
2020-04-18,622
2020-04-19,764
2020-04-20,511
2020-04-21,729
2020-04-22,1043
2020-04-23,1089
2020-04-24,1239
2020-04-25,970
2020-04-26,835
2020-04-27,852
2020-04-28,1223
2020-04-29,1047
2020-04-30,1425
2020-05-01,1515
2020-05-02,1349
2020-05-03,1383
2020-05-04,1434
2020-05-05,1120
2020-05-06,1609
2020-05-07,1982
2020-05-08,1906
2020-05-09,1938
2020-05-10,1562
2020-05-11,1305
2020-05-12,1997
2020-05-13,1862
